episode,train_return,success,epsilon
1,-3750.70821684145,0,0.9870485830702689
2,-3771.4893879493784,0,0.9841059649909348
3,-3778.230261001611,0,0.9811721195306079
4,-3801.5932013082333,0,0.9782470205361
5,-3795.5630094190583,0,0.9753306419321917
6,-3736.214100492754,0,0.9724229577213995
7,-3790.467698755469,0,0.9695239419837448
8,-3719.9990533322084,0,0.9666335688765221
9,-3718.676570842257,0,0.963751812634069
10,-3779.3224203191485,0,0.9608786475675364
11,-3703.7323308940945,0,0.9580140480646596
12,-3713.2233888896576,0,0.95515798858953
13,-3756.415539001701,0,0.9523104436823673
14,-3747.7085995659836,0,0.9494713879592926
15,-3726.8500251715845,0,0.9466407961121024
16,-3754.3496635928855,0,0.9438186429080424
17,-3769.9248983663324,0,0.9410049031895832
18,-3710.768043810244,0,0.9381995518741956
19,-3707.215264472032,0,0.9354025639541272
20,-3750.4196432446092,0,0.9326139144961796
21,-3691.3147612981747,0,0.9298335786414857
22,-3689.8770603269927,0,0.9270615316052888
23,-3754.3228876584326,0,0.9242977486767208
24,-3639.609329157975,0,0.9215422052185825
25,-3708.014546965939,0,0.918794876667124
26,-3660.0909941076056,0,0.9160557385318254
27,-3604.506909228525,0,0.9133247663951788
28,-3578.092435373888,0,0.9106019359124702
29,-3680.983891831849,0,0.9078872228115631
30,-3735.6203873551835,0,0.9051806028926817
31,-3686.21410080696,0,0.9024820520281951
32,-3724.274197823244,0,0.8997915461624026
33,-3585.8613173303866,0,0.8971090613113192
34,-3607.6565903930145,0,0.8944345735624611
35,-3731.1666077176583,0,0.8917680590746337
36,-3621.40891973371,0,0.8891094940777182
37,-3689.496409129068,0,0.88645885487246
38,-3689.6316052190623,0,0.8838161178302574
39,-3664.0561550694124,0,0.8811812593929508
40,-3645.7148496685445,0,0.8785542560726133
41,-3590.1684276632423,0,0.8759350844513405
42,-3719.683605866752,0,0.8733237211810423
43,-3651.6123727765457,0,0.8707201429832346
44,-3638.299990867472,0,0.868124326648832
45,-3591.80400713529,0,0.8655362490379402
46,-3680.4124481225676,0,0.8629558870796508
47,-3525.0277541443857,0,0.8603832177718346
48,-3583.243476552372,0,0.8578182181809373
49,-3746.4272120766336,0,0.8552608654417746
50,-3642.137649285189,0,0.8527111367573288
51,-3607.53945016234,0,0.8501690093985451
52,-3655.2925703829715,0,0.8476344607041293
53,-3566.4732851522067,0,0.8451074680803458
54,-3612.9687846941742,0,0.8425880090008159
55,-3651.995936039035,0,0.8400760610063174
56,-3563.18451970351,0,0.8375716017045841
57,-3621.3978491389894,0,0.8350746087701064
58,-3459.2039645389405,0,0.832585059943932
59,-3502.2200265981437,0,0.8301029330334676
60,-3488.001201200964,0,0.8276282059122813
61,-3620.842430170594,0,0.825160856519905
62,-3452.22864556497,0,0.822700862861638
63,-3556.6678124064774,0,0.8202482030083509
64,-3643.887297160349,0,0.8178028550962899
65,-3585.1975433542793,0,0.8153647973268822
66,-3633.2737569772153,0,0.8129340079665414
67,-3514.45684856816,0,0.8105104653464741
68,-3676.855830860354,0,0.8080941478624863
69,-3577.0171143145494,0,0.8056850339747914
70,-3278.07739927934,0,0.8032831022078174
71,-3566.2908026453706,0,0.8008883311500162
72,-3619.803414444502,0,0.7985006994536725
73,-3673.929713117592,0,0.7961201858347132
74,-3440.893579113367,0,0.793746769072518
75,-3626.1482963605386,0,0.7913804280097301
76,-3556.113621768393,0,0.7890211415520677
77,-3389.670979437699,0,0.7866688886681358
78,-3549.1260038910605,0,0.7843236483892388
79,-3475.627250497533,0,0.7819853998091939
80,-3447.966290729548,0,0.779654122084144
81,-3520.042070801833,0,0.7773297944323725
82,-3431.6916938575055,0,0.7750123961341178
83,-3453.014283257135,0,0.7727019065313887
84,-3431.63625474978,0,0.7703983050277804
85,-3536.428431936613,0,0.7681015710882904
86,-3609.9395427670756,0,0.7658116842391357
87,-3343.107006757431,0,0.7635286240675707
88,-3476.6330034468247,0,0.7612523702217047
89,-3580.6242257196614,0,0.7589829024103205
90,-3459.595142303404,0,0.7567202004026939
91,-3345.8418772746572,0,0.7544642440284131
92,-3531.543115939845,0,0.7522150131771986
93,-3314.569824659783,0,0.7499724877987247
94,-3460.5985822835696,0,0.7477366479024401
95,-3371.476023639524,0,0.7455074735573899
96,-3288.550532723783,0,0.743284944892038
97,-3357.639588500971,0,0.7410690420940899
98,-3361.750831288485,0,0.738859745410316
99,-3436.0150174134933,0,0.7366570351463757
100,-3502.585491661129,0,0.7344608916666417
101,-3386.966954219709,0,0.7322712953940252
102,-3442.413258764887,0,0.7300882268098009
103,-3248.073230014923,0,0.7279116664534334
104,-3534.9628636136804,0,0.7257415949224036
105,-3390.9647905691313,0,0.723577992872036
106,-3466.2202649858627,0,0.7214208410153254
107,-3401.148066383037,0,0.7192701201227664
108,-3364.163286472631,0,0.7171258110221804
109,-3307.7076773804715,0,0.7149878945985461
110,-3363.2700070023966,0,0.7128563517938279
111,-3377.982464135895,0,0.710731163606807
112,-3406.4137343908174,0,0.7086123110929113
113,-3486.181250065269,0,0.7064997753640472
114,-3472.9761060785972,0,0.7043935375884303
115,-3405.958055456685,0,0.7022935789904184
116,-3196.663785684571,0,0.7001998808503439
117,-3356.4523498814656,0,0.6981124245043465
118,-3196.4708875325737,0,0.6960311913442073
119,-3375.93596895508,0,0.6939561628171829
