episode,train_return,success,epsilon
1,-3749.3890462783083,0,0.9870485830702689
2,-3802.812217403961,0,0.9841059649909348
3,-3730.7250795657887,0,0.9811721195306079
4,-3776.6406700741113,0,0.9782470205361
5,-3732.2500393530468,0,0.9753306419321917
6,-3799.0523649079473,0,0.9724229577213995
7,-3732.00868427201,0,0.9695239419837448
8,-3719.259571894803,0,0.9666335688765221
9,-3720.078963596974,0,0.963751812634069
10,-3774.80113797715,0,0.9608786475675364
11,-3757.269267671017,0,0.9580140480646596
12,-3729.340313689092,0,0.95515798858953
13,-3737.6946877841237,0,0.9523104436823673
14,-3748.58490041057,0,0.9494713879592926
15,-3774.1469589995104,0,0.9466407961121024
16,-3727.521602572298,0,0.9438186429080424
17,-3730.2226986055775,0,0.9410049031895832
18,-3730.9385393450966,0,0.9381995518741956
19,-3776.9077062881834,0,0.9354025639541272
20,-3764.8316847486867,0,0.9326139144961796
21,-3721.255591784314,0,0.9298335786414857
22,-3769.809583769448,0,0.9270615316052888
23,-3721.4306158275226,0,0.9242977486767208
24,-3715.0128047029402,0,0.9215422052185825
25,-3685.8503574500555,0,0.918794876667124
26,-3685.922822195025,0,0.9160557385318254
27,-3653.967236074653,0,0.9133247663951788
28,-3618.9150377239375,0,0.9106019359124702
29,-3697.2890268251253,0,0.9078872228115631
30,-3707.1529391397503,0,0.9051806028926817
31,-3741.0415385382057,0,0.9024820520281951
32,-3778.6540985487204,0,0.8997915461624026
33,-3723.977858024456,0,0.8971090613113192
34,-3709.304052999606,0,0.8944345735624611
35,-3732.4758530587364,0,0.8917680590746337
36,-3751.3239100867504,0,0.8891094940777182
37,-3744.0422846910387,0,0.88645885487246
38,-3745.014325300464,0,0.8838161178302574
39,-3731.1733865684782,0,0.8811812593929508
40,-3697.7658320909723,0,0.8785542560726133
41,-3700.490293685014,0,0.8759350844513405
42,-3711.103602574703,0,0.8733237211810423
43,-3715.976015350866,0,0.8707201429832346
44,-3715.396333173599,0,0.868124326648832
45,-3608.674864194471,0,0.8655362490379402
46,-3753.9574253803225,0,0.8629558870796508
47,-3731.5797604845798,0,0.8603832177718346
48,-3643.4068701541137,0,0.8578182181809373
49,-3661.4052503226917,0,0.8552608654417746
50,-3678.4230653614636,0,0.8527111367573288
51,-3602.408338159308,0,0.8501690093985451
52,-3699.1535495195344,0,0.8476344607041293
53,-3658.293543357629,0,0.8451074680803458
54,-3678.9192481901778,0,0.8425880090008159
55,-3712.9125502046013,0,0.8400760610063174
56,-3677.457632288637,0,0.8375716017045841
57,-3717.858534358672,0,0.8350746087701064
58,-3654.0241380886846,0,0.832585059943932
59,-3741.8676916315603,0,0.8301029330334676
60,-3709.342208274109,0,0.8276282059122813
61,-3652.982321312189,0,0.825160856519905
62,-3582.8945280789785,0,0.822700862861638
63,-3681.168150761327,0,0.8202482030083509
64,-3576.5126427462988,0,0.8178028550962899
65,-3664.4920384670177,0,0.8153647973268822
66,-3698.2387475814335,0,0.8129340079665414
67,-3564.54958727106,0,0.8105104653464741
68,-3713.167599519959,0,0.8080941478624863
69,-3552.484993147988,0,0.8056850339747914
70,-3503.2082581375903,0,0.8032831022078174
71,-3662.6939365121825,0,0.8008883311500162
72,-3615.202235541636,0,0.7985006994536725
73,-3752.8616856551394,0,0.7961201858347132
74,-3681.1065838765667,0,0.793746769072518
75,-3535.267212494489,0,0.7913804280097301
76,-3661.126427658143,0,0.7890211415520677
77,-3569.2228702076527,0,0.7866688886681358
78,-3637.6365423444686,0,0.7843236483892388
79,-3675.2770769249228,0,0.7819853998091939
80,-3630.774767197934,0,0.779654122084144
81,-3569.5530936250357,0,0.7773297944323725
82,-3535.9124016850883,0,0.7750123961341178
83,-3623.5828315554236,0,0.7727019065313887
84,-3576.3783594169477,0,0.7703983050277804
85,-3635.7623494073905,0,0.7681015710882904
86,-3651.0111759849146,0,0.7658116842391357
87,-3529.2007224857884,0,0.7635286240675707
88,-3644.5129235434356,0,0.7612523702217047
89,-3579.308072941602,0,0.7589829024103205
90,-3564.913215739328,0,0.7567202004026939
91,-3709.385267626858,0,0.7544642440284131
92,-3649.3244122129295,0,0.7522150131771986
93,-3587.315285451499,0,0.7499724877987247
94,-3579.412261880888,0,0.7477366479024401
95,-3742.4532590922067,0,0.7455074735573899
96,-3550.3213053635627,0,0.743284944892038
97,-3637.968850548109,0,0.7410690420940899
98,-3595.860163660883,0,0.738859745410316
99,-3574.4423567959775,0,0.7366570351463757
100,-3604.4889419181472,0,0.7344608916666417
101,-3610.1261885098097,0,0.7322712953940252
102,-3581.8632025112142,0,0.7300882268098009
103,-3480.98274658624,0,0.7279116664534334
104,-3656.8372983087525,0,0.7257415949224036
105,-3581.327083938163,0,0.723577992872036
106,-3566.0453338254392,0,0.7214208410153254
107,-3562.3970041679117,0,0.7192701201227664
108,-3624.7860595679617,0,0.7171258110221804
109,-3546.2064039878364,0,0.7149878945985461
110,-3465.6051619603986,0,0.7128563517938279
111,-3512.6272485315103,0,0.710731163606807
112,-3545.318170226119,0,0.7086123110929113
113,-3473.4745497950307,0,0.7064997753640472
114,-3524.618009968853,0,0.7043935375884303
115,-3646.6223499494663,0,0.7022935789904184
116,-3502.929694602717,0,0.7001998808503439
117,-3542.756054697622,0,0.6981124245043465
118,-3464.596340265935,0,0.6960311913442073
119,-3593.6447576661485,0,0.6939561628171829
120,-3438.2969644314826,0,0.6918873204258396
121,-3616.782545603447,0,0.6898246457278889
